subject	predicate	object	birthPlace	<predicate>	age	object
Princess_Victoria_Louise_of_Prussia 	birthDate 	1892-09-13	Marmorpalais 	<age>	131	131
Princess_Victoria_Louise_of_Prussia 	gender 	Female	Marmorpalais 	<gender >		Female
Princess_Victoria_Louise_of_Prussia 	knowsLanguage 	German_language	Marmorpalais 	<knowsLanguage >		German_lang
Princess_Victoria_Louise_of_Prussia 	nationality 	Germany 	Marmorpalais 	<nationality >		Germany 
Abd_Allah_ibn_Muhammad 	birthDate 	0610-01-01	Mecca 	<age>	1414	1414
Abd_Allah_ibn_Muhammad 	gender 	Male	Mecca 	<gender >		Male
Consort_Tang 	gender 	Female	Yingchuan_Commandery 	<gender >		Female
Elfriede_Geiringer 	gender 	Female	Vienna 	<gender >		Female
Elfriede_Geiringer 	nationality 	Austria 	Vienna 	<nationality >		Austria 
Marcia_Furnilla 	birthDate 	0001-01-01	Rome 	<age>	2023	2023
Marcia_Furnilla 	gender 	Female	Rome 	<gender >		Female
Najwa_Ghanem 	birthDate 	1959-01-01	Latakia 	<age>	65	65
Najwa_Ghanem 	gender 	Female	Latakia 	<gender >		Female
Najwa_Ghanem 	knowsLanguage 	Arabic	Latakia 	<knowsLanguage >		Arabic
Najwa_Ghanem 	nationality 	Syria 	Latakia 	<nationality >		Syria 
Augusta_Victoria_of_Schleswig-Holstein 	award 	Order_of_the_Black_Eagle 	Lubsko 	<award >		Order_of_the_Black_Eagle 
Augusta_Victoria_of_Schleswig-Holstein 	birthDate 	1858-10-22	Lubsko 	<age>	165	165
Augusta_Victoria_of_Schleswig-Holstein 	gender 	Female	Lubsko 	<gender >		Female
Augusta_Victoria_of_Schleswig-Holstein 	knowsLanguage 	French_language	Lubsko 	<knowsLanguage >		French_lang
Augusta_Victoria_of_Schleswig-Holstein 	knowsLanguage 	German_language	Lubsko 	<knowsLanguage >		German_lang
Augusta_Victoria_of_Schleswig-Holstein 	nationality 	Germany 	Lubsko 	<nationality >		Germany 
Marianne_von_Weizsäcker 	birthDate 	1932-05-17	Essen 	<age>	91	91
Marianne_von_Weizsäcker 	gender 	Female	Essen 	<gender >		Female
Marianne_von_Weizsäcker 	knowsLanguage 	German_language	Essen 	<knowsLanguage >		German_lang
Marianne_von_Weizsäcker 	nationality 	Germany 	Essen 	<nationality >		Germany 
He_Fani 	birthDate 	0339-01-01	Huoshan_County 	<age>	1685	1685
Ibrahim_ibn_Muhammad 	birthDate 	0630-03-04	Medina 	<age>	1394	1394
Ibrahim_ibn_Muhammad 	gender 	Male	Medina 	<gender >		Male
Juwayriya_bint_al-Harith 	birthDate 	0608-01-01	Medina 	<age>	1416	1416
Juwayriya_bint_al-Harith 	gender 	Female	Medina 	<gender >		Female
Magdalena_Luther 	birthDate 	1529-05-04	Wittenberg 	<age>	494	494
Magdalena_Luther 	gender 	Female	Wittenberg 	<gender >		Female
Mao_Anlong 	birthDate 	1927-01-01	Changsha 	<age>	97	97
Mao_Anlong 	gender 	Male	Changsha 	<gender >		Male
Maria_al-Qibtiyya 	gender 	Female	Byzantine_Empire 	<gender >		Female
Maria_al-Qibtiyya 	knowsLanguage 	Arabic	Byzantine_Empire 	<knowsLanguage >		Arabic
Maria_al-Qibtiyya 	knowsLanguage 	Egyptian_language	Byzantine_Empire 	<knowsLanguage >		Egyptian_lang
Maymunah_bint_al-Harith 	gender 	Female	Mecca 	<gender >		Female
Elfriede_Geiringer 	birthDate 	1905-02-13	Vienna 	<age>	119	119
Elfriede_Geiringer 	knowsLanguage 	German_language	Vienna 	<knowsLanguage >		German_lang
Eugénie_Pétain 	birthDate 	1877-10-05	Courquetaine 	<age>	146	146
Eugénie_Pétain 	gender 	Female	Courquetaine 	<gender >		Female
Eugénie_Pétain 	knowsLanguage 	French_language	Courquetaine 	<knowsLanguage >		French_lang
Eugénie_Pétain 	nationality 	France 	Courquetaine 	<nationality >		France 
Fausta 	birthDate 	0289-01-01	Rome 	<age>	1735	1735
Fausta 	gender 	Female	Rome 	<gender >		Female
Fausta 	knowsLanguage 	Latin	Rome 	<knowsLanguage >		Latin
Grand_Duchess_Natalia_Petrovna_of_Russia__u0028_1718_u2013_1725_u0029_ 	birthDate 	1718-08-31	Saint_Petersburg 	<age>	305	305
Grand_Duchess_Natalia_Petrovna_of_Russia__u0028_1718_u2013_1725_u0029_ 	gender 	Female	Saint_Petersburg 	<gender >		Female
Hafsa_bint_Umar 	birthDate 	0604-01-01	Mecca 	<age>	1420	1420
Hafsa_bint_Umar 	gender 	Female	Mecca 	<gender >		Female
