subject	predicate	object	isCitizenOf
<Joe_Bradshaw_(footballer)>	<isAffiliatedTo>	Fulham_F.C.	India
<Angels_&_Airwaves_Presents_Love_Live>	<isLocatedIn>	Georgia_(U.S._state)	Germany
<Enrico_Fermi>	<worksAt>	Columbia_University	Martinique
<Federico_Fellini>	<directed>	La_Dolce_Vita	Republic_of_the_Congo
<Denmark>	<participatedIn>	Kosovo_War	Russia
<Denmark>	<dealsWith>	United_States	Russia
<Alan_Thompson_(footballer,_born_1973)>	<isAffiliatedTo>	England_national_football_team	India
<Josh_Wright>	<isAffiliatedTo>	Charlton_Athletic_F.C.	Sweden
<Derek_McInnes>	<isAffiliatedTo>	Dundee_United_F.C.	Canada
<Bruno_Rodriguez>	<isAffiliatedTo>	AS_Monaco_FC	Canada
<Young_Adam_(film)>	<isLocatedIn>	United_Kingdom	Israel
<Liam_George>	<playsFor>	Bury_F.C.	England
<Mel_Brooks>	<hasWonPrize>	Grammy_Award	Argentina
<Mel_Brooks>	<wasBornIn>	Brooklyn	Argentina
<Abel_Xavier>	<isAffiliatedTo>	PSV_Eindhoven	Northern_Ireland
<Abel_Xavier>	<playsFor>	Everton_F.C.	Northern_Ireland
<Jamie_O'Hara_(footballer)>	<playsFor>	Arsenal_F.C.	Senegal
<Jeffrey_Monakana>	<isAffiliatedTo>	Bristol_Rovers_F.C.	Panama
<Colin_Miller_(soccer)>	<playsFor>	Doncaster_Rovers_F.C.	Greece
<Dougie_Freedman>	<isAffiliatedTo>	Southend_United_F.C.	Panama
<The_Walt_Disney_Company>	<owns>	Disney_Interactive_Studios	Chile
<Adel_Taarabt>	<isAffiliatedTo>	Queens_Park_Rangers_F.C.	Cyprus
<Leighton_Meester>	<wasBornIn>	Fort_Worth,_Texas	El_Salvador
<Paul_Rachubka>	<isAffiliatedTo>	Bury_F.C.	United_Kingdom
<David_McCracken>	<isAffiliatedTo>	Dundee_United_F.C.	Puerto_Rico
